Benchmark,random1
exe_time,4634.140625
CYCLE_VAL,71
tracectr,16999997
mem_clk,0
invokectr,16999998
oramctr,0
dummyctr,0
pos1_access,16995206
pos2_access,16929827
plb_hit0,0.002965%
plb_hit1,0.025189%
plb_hit2,0.384144%
plb_hit0,504
plb_hit1,4282
plb_hit2,65286
plbaccess0,16999995
plbaccess1,16999491
plbaccess2,16995209
oramQ_size,0
Bk_Evict,-nan%
Bk_Evict,0
Cache_Hit,-nan%
Cache Evict,-nan%
rho_hit,0.000000%
rhoctr,0
rho_dummyctr,0
rho_bkctr,-nan%
earlyctr,0
dirty_pointctr,0
cache_dirty,0
ptr_fail,0
search_fail,0
pinctr,0
unpinctr,0
precase,0
sttctr,0
stash_leftover,0
stash_removed,0
fillhit,0
fillmiss,0
topctr,0.484523%
midctr,51.096707%
botctr,48.418770%
ring_evictctr,10184904
stashctr,1
stash_cont,0
linger_discard,0
shuffctr,51543473
ringctr,50924522
wbctr,48101523
writectr,8500418
wskip,0
mem_req_late,0.000000
nonmemops_sum,0
missl1wb,8
missl1wb_rate,inf%
wbshuff,0
ringdumctr,0
wl_pos1,0
wl_pos2,0
stalectr,0
stale_flush_ctr,0
stale_discard_ctr,0
stale_reduction,0
glctr[0],0.000000%
glctr[1],0.000000%
glctr[2],0.000000%
STALE_BUF,300
STALE_CAP,56
deadctr,35812285
dead_on_path,37
nonleaf_r_norm,1655964028
leaf_r_norm,261273020
nonleaf_w_norm,1811299500
leaf_w_norm,288940404
nonleaf_r_remote,0
leaf_r_remote,0
nonleaf_r_inplace,0
leaf_r_inplace,0
nonleaf_w_inplace,0
nonleaf_w_inplace_remembered,0
nonleaf_w_remote,0
leaf_w_inplace,0
leaf_w_remote,0
deadQ-size,0
remote_located_leaves,34
shuff_tc+,32431336
shuff[0],0
shuff[1],914678
shuff[2],1782115
shuff[3],2126308
shuff[4],2280767
shuff[5],2357347
shuff[6],2393662
shuff[7],2411163
shuff[8],2420364
shuff[9],2425733
shuff[10],2427071
shuff[11],2426917
shuff[12],2428974
shuff[13],2429407
shuff[14],2427498
shuff[15],2424865
shuff[16],2427846
shuff[17],2417053
shuff[18],2398035
shuff[19],2411894
shuff[20],2331604
shuff[21],2171613
shuff[22],2275379
shuff[23],1433180
nonleaf_elselevel,0
leaf_elselevel,0
remote_located_nonleaves,0
surplus_dead,0
surplus_in_use,0
